          2021-05-03	Support King, LLC		Administrative		192 3003		Facial recognition
          2021-05-07	Everalbum, Inc., In the Matter of		Administrative		192 3172		
          2021-07-01	Kuuhuub, Inc., et al., U.S. v. (Recolor Oy)		Federal		1823184		COPPA
